Lap,Temperature,Weather,Track_Surface,Downforce_Setup,Driving_Style,Race_Strategy,Safety_Car,Competitor_Strategy,Laps_Remaining,Tire_Compound
21,26,Sunny,Smooth,Low,Conservative,Two-stop,Yes,Undercut,49,Medium
4,17,Rainy,Moderate,Low,Aggressive,Two-stop,No,Overcut,66,Wet
32,35,Rainy,Rough,High,Aggressive,Three-stop,No,Neutral,38,Wet
4,19,Sunny,Rough,Medium,Conservative,Two-stop,Yes,Overcut,66,Medium
23,20,Rainy,Moderate,High,Balanced,Three-stop,No,Neutral,47,Wet
63,26,Sunny,Moderate,Medium,Conservative,Two-stop,Yes,Undercut,7,Soft
41,43,Sunny,Rough,Medium,Aggressive,One-stop,No,Undercut,29,Medium
48,19,Rainy,Rough,High,Balanced,One-stop,Yes,Overcut,22,Wet
33,12,Mixed,Smooth,High,Aggressive,One-stop,No,Neutral,37,Intermediate
19,17,Mixed,Smooth,Low,Balanced,Two-stop,No,Undercut,51,Intermediate
64,22,Cloudy,Moderate,High,Conservative,Three-stop,No,Neutral,6,Soft
40,29,Rainy,Rough,Low,Balanced,Two-stop,No,Undercut,30,Wet
33,20,Mixed,Moderate,High,Balanced,Two-stop,Yes,Undercut,37,Intermediate
53,43,Mixed,Rough,High,Balanced,One-stop,No,Undercut,17,Intermediate
18,14,Rainy,Moderate,Medium,Conservative,One-stop,No,Overcut,52,Wet
24,18,Mixed,Smooth,High,Aggressive,Two-stop,Yes,Undercut,46,Intermediate
63,25,Cloudy,Rough,Medium,Balanced,One-stop,No,Overcut,7,Soft
3,29,Mixed,Moderate,High,Aggressive,Three-stop,Yes,Neutral,67,Intermediate
4,43,Sunny,Rough,Low,Conservative,Two-stop,Yes,Neutral,66,Hard
7,15,Sunny,Smooth,High,Balanced,Three-stop,Yes,Neutral,63,Medium
47,32,Sunny,Rough,Medium,Conservative,Three-stop,No,Undercut,23,Soft
32,40,Cloudy,Rough,Medium,Conservative,Three-stop,No,Neutral,38,Hard
67,33,Mixed,Rough,High,Conservative,Two-stop,Yes,Undercut,3,Intermediate
12,34,Cloudy,Smooth,High,Balanced,Two-stop,No,Neutral,58,Medium
62,21,Cloudy,Smooth,Low,Conservative,Two-stop,Yes,Neutral,8,Soft
69,16,Cloudy,Moderate,Low,Aggressive,One-stop,No,Overcut,1,Soft
43,24,Cloudy,Rough,High,Conservative,One-stop,Yes,Undercut,27,Hard
4,26,Cloudy,Rough,High,Conservative,One-stop,Yes,Overcut,66,Medium
39,11,Sunny,Rough,Medium,Balanced,Two-stop,Yes,Overcut,31,Medium
28,23,Rainy,Rough,High,Aggressive,One-stop,Yes,Neutral,42,Wet
52,11,Sunny,Moderate,High,Conservative,Three-stop,Yes,Overcut,18,Medium
19,15,Rainy,Moderate,Low,Balanced,One-stop,No,Neutral,51,Wet
15,40,Rainy,Rough,Low,Balanced,Three-stop,Yes,Undercut,55,Wet
30,43,Rainy,Smooth,High,Conservative,Two-stop,No,Neutral,40,Wet
2,15,Sunny,Smooth,High,Balanced,Three-stop,No,Neutral,68,Medium
47,18,Mixed,Rough,Medium,Conservative,Three-stop,No,Neutral,23,Intermediate
35,44,Cloudy,Smooth,Medium,Balanced,One-stop,No,Neutral,35,Hard
35,43,Rainy,Rough,Medium,Aggressive,Two-stop,Yes,Undercut,35,Wet
62,21,Mixed,Moderate,High,Balanced,Two-stop,Yes,Overcut,8,Intermediate
26,25,Rainy,Moderate,Medium,Balanced,One-stop,No,Neutral,44,Wet
54,37,Rainy,Smooth,Medium,Conservative,Three-stop,Yes,Undercut,16,Wet
50,24,Mixed,Rough,Medium,Aggressive,Two-stop,Yes,Undercut,20,Intermediate
24,34,Sunny,Smooth,High,Balanced,One-stop,No,Overcut,46,Medium
21,25,Rainy,Rough,Low,Balanced,Three-stop,No,Neutral,49,Wet
16,27,Mixed,Smooth,High,Conservative,One-stop,No,Overcut,54,Intermediate
53,31,Cloudy,Rough,High,Aggressive,Two-stop,Yes,Neutral,17,Soft
20,34,Mixed,Rough,Low,Aggressive,One-stop,No,Overcut,50,Intermediate
38,30,Rainy,Rough,Low,Balanced,Three-stop,No,Overcut,32,Wet
18,10,Cloudy,Moderate,Medium,Aggressive,One-stop,No,Undercut,52,Medium
5,26,Rainy,Smooth,Medium,Conservative,Two-stop,Yes,Overcut,65,Wet
63,35,Cloudy,Smooth,Low,Aggressive,Three-stop,No,Overcut,7,Soft
17,27,Sunny,Rough,Low,Balanced,Two-stop,No,Overcut,53,Soft
29,36,Cloudy,Smooth,High,Balanced,Three-stop,No,Undercut,41,Hard
40,31,Sunny,Moderate,Medium,Conservative,One-stop,No,Undercut,30,Medium
56,16,Rainy,Rough,High,Conservative,Three-stop,No,Neutral,14,Wet
55,24,Sunny,Smooth,High,Balanced,Three-stop,Yes,Undercut,15,Medium
53,39,Mixed,Smooth,High,Balanced,One-stop,No,Overcut,17,Intermediate
2,41,Cloudy,Rough,Medium,Balanced,Three-stop,Yes,Neutral,68,Hard
41,37,Rainy,Smooth,Low,Aggressive,Two-stop,Yes,Undercut,29,Wet
19,17,Rainy,Moderate,Low,Aggressive,Two-stop,Yes,Neutral,51,Wet
4,33,Sunny,Smooth,High,Conservative,Two-stop,No,Overcut,66,Medium
36,42,Cloudy,Smooth,Low,Aggressive,Two-stop,Yes,Overcut,34,Soft
62,11,Cloudy,Smooth,High,Aggressive,One-stop,Yes,Overcut,8,Soft
66,35,Rainy,Rough,Medium,Aggressive,One-stop,Yes,Overcut,4,Wet
30,41,Cloudy,Smooth,High,Conservative,One-stop,Yes,Neutral,40,Hard
5,14,Cloudy,Rough,Low,Conservative,Two-stop,Yes,Neutral,65,Medium
51,23,Mixed,Smooth,Low,Balanced,Two-stop,No,Undercut,19,Intermediate
59,29,Cloudy,Rough,Low,Conservative,Three-stop,No,Overcut,11,Soft
54,28,Rainy,Moderate,Medium,Balanced,Two-stop,No,Neutral,16,Wet
12,38,Mixed,Smooth,Low,Aggressive,One-stop,No,Undercut,58,Intermediate
37,19,Rainy,Smooth,High,Balanced,One-stop,Yes,Undercut,33,Wet
6,31,Sunny,Moderate,High,Aggressive,Two-stop,No,Neutral,64,Medium
52,15,Mixed,Smooth,High,Conservative,Three-stop,No,Undercut,18,Intermediate
39,20,Sunny,Rough,Medium,Conservative,Three-stop,No,Neutral,31,Medium
8,14,Mixed,Moderate,High,Conservative,Two-stop,No,Neutral,62,Intermediate
61,10,Cloudy,Moderate,Medium,Balanced,One-stop,No,Neutral,9,Soft
24,42,Rainy,Smooth,Low,Aggressive,Three-stop,No,Undercut,46,Wet
36,18,Sunny,Smooth,Low,Aggressive,One-stop,No,Overcut,34,Medium
8,34,Mixed,Rough,High,Aggressive,Three-stop,No,Overcut,62,Intermediate
12,11,Rainy,Smooth,Low,Balanced,Two-stop,Yes,Overcut,58,Wet
16,26,Rainy,Smooth,High,Conservative,Two-stop,No,Neutral,54,Wet
6,10,Rainy,Smooth,Medium,Conservative,Two-stop,No,Overcut,64,Wet
69,15,Rainy,Smooth,Medium,Conservative,Three-stop,No,Overcut,1,Wet
6,23,Mixed,Moderate,High,Aggressive,Three-stop,No,Overcut,64,Intermediate
23,26,Sunny,Smooth,Medium,Balanced,Three-stop,Yes,Neutral,47,Medium
19,37,Sunny,Smooth,High,Balanced,Two-stop,Yes,Undercut,51,Hard
59,18,Cloudy,Moderate,Low,Balanced,One-stop,Yes,Overcut,11,Soft
62,33,Cloudy,Rough,Medium,Balanced,Two-stop,No,Undercut,8,Soft
8,10,Mixed,Moderate,Low,Balanced,Two-stop,Yes,Undercut,62,Intermediate
63,44,Sunny,Smooth,Low,Balanced,One-stop,Yes,Overcut,7,Soft
55,28,Cloudy,Smooth,High,Balanced,Three-stop,Yes,Neutral,15,Medium
53,21,Sunny,Rough,Medium,Conservative,Two-stop,Yes,Undercut,17,Medium
52,20,Sunny,Smooth,Medium,Aggressive,Two-stop,No,Undercut,18,Medium
49,42,Mixed,Smooth,High,Balanced,Three-stop,No,Neutral,21,Intermediate
41,30,Cloudy,Smooth,Low,Conservative,One-stop,No,Undercut,29,Medium
29,23,Mixed,Moderate,High,Conservative,One-stop,No,Undercut,41,Intermediate
43,10,Rainy,Rough,Medium,Conservative,Three-stop,No,Overcut,27,Wet
24,21,Rainy,Rough,Medium,Balanced,Two-stop,No,Neutral,46,Wet
38,16,Sunny,Smooth,High,Conservative,Three-stop,Yes,Undercut,32,Medium
12,33,Mixed,Rough,Low,Balanced,One-stop,Yes,Undercut,58,Intermediate
16,27,Sunny,Rough,High,Conservative,One-stop,No,Neutral,54,Medium
28,27,Cloudy,Moderate,High,Conservative,Two-stop,No,Overcut,42,Medium
43,39,Mixed,Smooth,Medium,Aggressive,Three-stop,No,Undercut,27,Intermediate
64,22,Mixed,Smooth,Low,Conservative,One-stop,No,Undercut,6,Intermediate
69,38,Sunny,Smooth,High,Aggressive,Two-stop,Yes,Neutral,1,Soft
41,40,Rainy,Smooth,Medium,Conservative,Two-stop,No,Undercut,29,Wet
48,25,Sunny,Moderate,Low,Aggressive,One-stop,Yes,Overcut,22,Medium
29,36,Mixed,Moderate,High,Balanced,One-stop,Yes,Undercut,41,Intermediate
20,15,Mixed,Moderate,Medium,Balanced,One-stop,Yes,Neutral,50,Intermediate
46,41,Sunny,Rough,Low,Aggressive,Two-stop,No,Overcut,24,Soft
15,27,Mixed,Smooth,Low,Balanced,Two-stop,No,Overcut,55,Intermediate
41,44,Cloudy,Smooth,Low,Balanced,Two-stop,Yes,Neutral,29,Hard
25,39,Sunny,Smooth,Medium,Balanced,One-stop,Yes,Undercut,45,Hard
1,23,Sunny,Rough,High,Conservative,Three-stop,No,Undercut,69,Medium
65,21,Mixed,Smooth,Low,Balanced,Two-stop,No,Undercut,5,Intermediate
23,35,Sunny,Smooth,Low,Aggressive,One-stop,Yes,Undercut,47,Medium
68,13,Sunny,Smooth,Medium,Aggressive,Two-stop,Yes,Undercut,2,Soft
52,22,Mixed,Smooth,Medium,Balanced,Two-stop,No,Overcut,18,Intermediate
24,22,Rainy,Smooth,Medium,Conservative,Three-stop,Yes,Overcut,46,Wet
53,35,Rainy,Smooth,High,Conservative,Two-stop,No,Neutral,17,Wet
27,43,Sunny,Rough,Medium,Aggressive,Two-stop,Yes,Undercut,43,Soft
23,35,Sunny,Rough,High,Conservative,Three-stop,No,Overcut,47,Soft
68,29,Mixed,Smooth,High,Conservative,Two-stop,No,Overcut,2,Intermediate
55,38,Mixed,Smooth,Low,Aggressive,One-stop,Yes,Overcut,15,Intermediate
24,17,Sunny,Moderate,High,Balanced,One-stop,Yes,Undercut,46,Hard
7,43,Cloudy,Smooth,High,Aggressive,Two-stop,No,Neutral,63,Soft
50,20,Mixed,Smooth,High,Aggressive,One-stop,No,Neutral,20,Intermediate
45,23,Rainy,Moderate,Low,Conservative,One-stop,Yes,Undercut,25,Wet
24,23,Cloudy,Smooth,High,Conservative,Three-stop,No,Overcut,46,Medium
42,31,Cloudy,Moderate,Low,Aggressive,Two-stop,No,Neutral,28,Medium
44,13,Rainy,Moderate,Low,Aggressive,Three-stop,No,Undercut,26,Wet
59,34,Mixed,Rough,Medium,Balanced,Two-stop,No,Undercut,11,Intermediate
22,14,Rainy,Smooth,Low,Aggressive,One-stop,No,Undercut,48,Wet
19,22,Mixed,Rough,Medium,Aggressive,Two-stop,Yes,Neutral,51,Intermediate
8,21,Rainy,Smooth,Low,Aggressive,One-stop,No,Undercut,62,Wet
65,35,Sunny,Rough,High,Balanced,One-stop,No,Overcut,5,Soft
34,20,Sunny,Smooth,Medium,Conservative,One-stop,No,Undercut,36,Hard
66,31,Sunny,Rough,Low,Aggressive,Three-stop,No,Neutral,4,Soft
51,22,Mixed,Rough,Low,Aggressive,Two-stop,No,Neutral,19,Intermediate
62,27,Mixed,Smooth,Low,Aggressive,One-stop,Yes,Neutral,8,Intermediate
60,25,Mixed,Smooth,High,Aggressive,One-stop,No,Undercut,10,Intermediate
59,14,Sunny,Rough,High,Aggressive,Three-stop,Yes,Undercut,11,Soft
41,18,Mixed,Rough,High,Aggressive,Three-stop,Yes,Undercut,29,Intermediate
22,25,Mixed,Rough,High,Aggressive,Two-stop,Yes,Overcut,48,Intermediate
62,44,Sunny,Moderate,Low,Balanced,Two-stop,No,Neutral,8,Soft
27,40,Cloudy,Rough,Low,Aggressive,Two-stop,No,Neutral,43,Soft
19,22,Cloudy,Moderate,Low,Conservative,Two-stop,No,Neutral,51,Medium
38,12,Rainy,Moderate,Medium,Conservative,One-stop,No,Undercut,32,Wet
39,43,Sunny,Rough,High,Aggressive,Two-stop,No,Undercut,31,Soft
2,30,Mixed,Rough,Low,Aggressive,One-stop,No,Overcut,68,Intermediate
13,19,Rainy,Smooth,Medium,Aggressive,Two-stop,Yes,Neutral,57,Wet
52,41,Cloudy,Rough,Medium,Balanced,Three-stop,Yes,Overcut,18,Hard
65,36,Mixed,Rough,Low,Balanced,Three-stop,Yes,Neutral,5,Intermediate
18,35,Mixed,Moderate,Low,Conservative,Three-stop,Yes,Neutral,52,Intermediate
46,26,Cloudy,Moderate,Medium,Balanced,One-stop,Yes,Neutral,24,Medium
28,29,Rainy,Moderate,Medium,Aggressive,Two-stop,No,Undercut,42,Wet
6,35,Rainy,Rough,Low,Aggressive,One-stop,No,Undercut,64,Wet
47,26,Rainy,Smooth,Medium,Balanced,One-stop,No,Neutral,23,Wet
62,18,Cloudy,Smooth,High,Balanced,One-stop,Yes,Undercut,8,Soft
13,28,Mixed,Smooth,High,Conservative,Three-stop,No,Undercut,57,Intermediate
50,10,Mixed,Smooth,Low,Balanced,One-stop,No,Undercut,20,Intermediate
16,19,Mixed,Rough,Medium,Balanced,Three-stop,No,Overcut,54,Intermediate
51,22,Sunny,Smooth,High,Balanced,Two-stop,Yes,Neutral,19,Medium
25,16,Cloudy,Rough,Low,Conservative,Two-stop,No,Neutral,45,Medium
49,13,Mixed,Smooth,Medium,Balanced,One-stop,Yes,Neutral,21,Intermediate
19,31,Sunny,Moderate,High,Aggressive,Three-stop,Yes,Neutral,51,Medium
6,35,Rainy,Moderate,Low,Balanced,Two-stop,No,Overcut,64,Wet
58,11,Sunny,Rough,Medium,Conservative,Two-stop,Yes,Overcut,12,Soft
19,37,Cloudy,Smooth,High,Conservative,Three-stop,Yes,Overcut,51,Hard
49,37,Sunny,Rough,Low,Balanced,One-stop,No,Neutral,21,Hard
9,26,Cloudy,Moderate,Low,Balanced,One-stop,No,Overcut,61,Medium
60,41,Cloudy,Smooth,Low,Balanced,Two-stop,No,Overcut,10,Soft
51,42,Rainy,Moderate,High,Aggressive,Three-stop,No,Overcut,19,Wet
64,35,Mixed,Moderate,Medium,Aggressive,Three-stop,No,Undercut,6,Intermediate
7,44,Rainy,Moderate,High,Conservative,One-stop,Yes,Undercut,63,Wet
27,32,Mixed,Rough,Low,Aggressive,One-stop,Yes,Overcut,43,Intermediate
57,44,Mixed,Smooth,Medium,Conservative,One-stop,Yes,Neutral,13,Intermediate
25,13,Mixed,Rough,High,Balanced,One-stop,Yes,Neutral,45,Intermediate
49,26,Cloudy,Rough,Low,Conservative,One-stop,Yes,Overcut,21,Medium
53,17,Cloudy,Moderate,Low,Balanced,One-stop,Yes,Neutral,17,Medium
36,29,Mixed,Rough,High,Conservative,Two-stop,Yes,Undercut,34,Intermediate
27,32,Mixed,Rough,High,Conservative,Three-stop,Yes,Overcut,43,Intermediate
62,18,Rainy,Rough,Medium,Aggressive,Two-stop,Yes,Overcut,8,Wet
16,17,Cloudy,Smooth,Medium,Balanced,Two-stop,No,Undercut,54,Medium
5,39,Cloudy,Rough,Low,Aggressive,Two-stop,Yes,Undercut,65,Soft
48,44,Sunny,Smooth,Low,Aggressive,Two-stop,No,Overcut,22,Soft
56,44,Mixed,Moderate,High,Conservative,One-stop,No,Neutral,14,Intermediate
58,21,Mixed,Moderate,High,Balanced,Three-stop,Yes,Overcut,12,Intermediate
43,16,Sunny,Moderate,Medium,Balanced,One-stop,Yes,Overcut,27,Medium
51,24,Sunny,Smooth,Medium,Balanced,Three-stop,Yes,Neutral,19,Medium
63,43,Rainy,Smooth,Low,Balanced,One-stop,Yes,Undercut,7,Wet
58,32,Rainy,Moderate,High,Balanced,Three-stop,No,Neutral,12,Wet
23,40,Cloudy,Moderate,High,Balanced,Two-stop,No,Overcut,47,Hard
64,33,Mixed,Smooth,Medium,Balanced,Two-stop,Yes,Undercut,6,Intermediate
52,33,Cloudy,Rough,Medium,Conservative,One-stop,Yes,Neutral,18,Medium
48,24,Mixed,Rough,High,Conservative,One-stop,No,Overcut,22,Intermediate
41,30,Mixed,Smooth,Low,Balanced,Three-stop,Yes,Overcut,29,Intermediate
52,15,Rainy,Smooth,Medium,Aggressive,Two-stop,No,Undercut,18,Wet
33,43,Cloudy,Rough,High,Aggressive,Three-stop,No,Undercut,37,Soft
21,10,Mixed,Moderate,Medium,Balanced,Two-stop,Yes,Overcut,49,Intermediate
59,38,Sunny,Moderate,Medium,Aggressive,Two-stop,No,Undercut,11,Soft
21,37,Mixed,Smooth,High,Conservative,Three-stop,Yes,Neutral,49,Intermediate
17,15,Rainy,Smooth,Medium,Conservative,Three-stop,No,Neutral,53,Wet
17,39,Mixed,Moderate,Medium,Balanced,Two-stop,No,Neutral,53,Intermediate
55,28,Cloudy,Rough,Low,Conservative,One-stop,Yes,Neutral,15,Medium
59,18,Sunny,Rough,Low,Conservative,Three-stop,No,Neutral,11,Soft
63,32,Mixed,Moderate,Medium,Aggressive,Three-stop,Yes,Undercut,7,Intermediate
47,22,Rainy,Smooth,High,Balanced,Two-stop,Yes,Overcut,23,Wet
45,35,Mixed,Smooth,Medium,Aggressive,One-stop,Yes,Overcut,25,Intermediate
68,25,Rainy,Moderate,Medium,Conservative,Two-stop,Yes,Undercut,2,Wet
51,27,Mixed,Moderate,Medium,Balanced,One-stop,No,Overcut,19,Intermediate
32,34,Sunny,Moderate,Medium,Aggressive,Two-stop,No,Neutral,38,Medium
61,22,Mixed,Rough,Medium,Aggressive,One-stop,No,Overcut,9,Intermediate
16,38,Cloudy,Smooth,Low,Balanced,One-stop,No,Undercut,54,Hard
46,24,Cloudy,Rough,Medium,Conservative,Three-stop,No,Overcut,24,Medium
36,20,Cloudy,Smooth,Low,Aggressive,One-stop,Yes,Undercut,34,Medium
52,29,Mixed,Moderate,High,Conservative,One-stop,No,Undercut,18,Intermediate
68,29,Sunny,Rough,Medium,Balanced,Three-stop,Yes,Neutral,2,Soft
9,11,Mixed,Rough,High,Conservative,Three-stop,No,Overcut,61,Intermediate
29,32,Cloudy,Moderate,Medium,Conservative,Three-stop,Yes,Neutral,41,Medium
65,14,Mixed,Moderate,Low,Aggressive,Three-stop,No,Overcut,5,Intermediate
34,44,Sunny,Moderate,High,Balanced,Three-stop,No,Neutral,36,Hard
33,26,Mixed,Rough,High,Conservative,Two-stop,Yes,Neutral,37,Intermediate
15,21,Sunny,Smooth,Low,Conservative,One-stop,Yes,Neutral,55,Hard
36,35,Mixed,Smooth,Medium,Aggressive,Three-stop,No,Neutral,34,Intermediate
36,11,Mixed,Rough,Low,Conservative,Three-stop,Yes,Neutral,34,Intermediate
1,19,Rainy,Moderate,Low,Aggressive,Three-stop,Yes,Undercut,69,Wet
39,21,Rainy,Moderate,High,Aggressive,One-stop,Yes,Undercut,31,Wet
26,25,Rainy,Moderate,Low,Aggressive,One-stop,No,Neutral,44,Wet
62,28,Mixed,Moderate,High,Conservative,Two-stop,No,Overcut,8,Intermediate
61,16,Mixed,Moderate,Low,Balanced,Two-stop,No,Overcut,9,Intermediate
33,21,Mixed,Smooth,Low,Balanced,Two-stop,No,Neutral,37,Intermediate
17,23,Sunny,Rough,Medium,Conservative,One-stop,No,Overcut,53,Hard
33,32,Cloudy,Rough,High,Aggressive,Two-stop,Yes,Overcut,37,Soft
29,16,Rainy,Moderate,High,Conservative,Two-stop,Yes,Undercut,41,Wet
13,31,Rainy,Smooth,Low,Balanced,One-stop,No,Overcut,57,Wet
14,34,Cloudy,Moderate,Medium,Balanced,Two-stop,No,Overcut,56,Medium
34,10,Mixed,Smooth,Low,Aggressive,Two-stop,No,Overcut,36,Intermediate
50,13,Sunny,Rough,Medium,Aggressive,One-stop,No,Undercut,20,Medium
44,40,Cloudy,Smooth,Low,Aggressive,Three-stop,Yes,Overcut,26,Soft
2,31,Rainy,Smooth,Low,Conservative,Three-stop,Yes,Undercut,68,Wet
67,40,Cloudy,Moderate,Medium,Aggressive,Three-stop,No,Neutral,3,Soft
28,39,Sunny,Moderate,Low,Aggressive,Three-stop,No,Overcut,42,Soft
44,40,Mixed,Rough,Low,Aggressive,Two-stop,No,Neutral,26,Intermediate
60,36,Cloudy,Moderate,Low,Conservative,Three-stop,No,Undercut,10,Soft
55,22,Sunny,Smooth,High,Aggressive,One-stop,No,Undercut,15,Hard
17,39,Mixed,Smooth,Medium,Aggressive,One-stop,Yes,Neutral,53,Intermediate
39,30,Cloudy,Smooth,Medium,Aggressive,Three-stop,Yes,Undercut,31,Medium
31,15,Sunny,Rough,Low,Conservative,One-stop,Yes,Undercut,39,Hard
12,23,Rainy,Smooth,Medium,Balanced,Three-stop,Yes,Overcut,58,Wet
33,13,Sunny,Smooth,Low,Balanced,Three-stop,No,Overcut,37,Medium
5,17,Mixed,Rough,Medium,Aggressive,Three-stop,No,Undercut,65,Intermediate
37,11,Mixed,Smooth,High,Balanced,Three-stop,No,Overcut,33,Intermediate
19,33,Mixed,Moderate,Low,Balanced,Two-stop,No,Overcut,51,Intermediate
16,20,Cloudy,Rough,Medium,Aggressive,Two-stop,Yes,Overcut,54,Medium
21,42,Sunny,Smooth,Low,Balanced,Three-stop,Yes,Overcut,49,Hard
62,40,Sunny,Smooth,Medium,Balanced,Three-stop,Yes,Neutral,8,Soft
11,43,Rainy,Rough,Medium,Balanced,Three-stop,No,Overcut,59,Wet
59,38,Cloudy,Rough,Low,Balanced,Two-stop,Yes,Neutral,11,Soft
36,24,Mixed,Moderate,Medium,Aggressive,Two-stop,No,Overcut,34,Intermediate
12,27,Cloudy,Rough,Medium,Conservative,One-stop,Yes,Undercut,58,Medium
17,40,Rainy,Moderate,Low,Conservative,Three-stop,No,Overcut,53,Wet
30,39,Sunny,Smooth,High,Conservative,Three-stop,Yes,Undercut,40,Hard
10,27,Sunny,Rough,Low,Aggressive,One-stop,No,Neutral,60,Medium
23,25,Mixed,Rough,Low,Balanced,Three-stop,Yes,Overcut,47,Intermediate
24,18,Mixed,Rough,High,Balanced,One-stop,Yes,Undercut,46,Intermediate
29,30,Cloudy,Rough,Medium,Balanced,One-stop,Yes,Undercut,41,Medium
64,27,Mixed,Rough,Low,Conservative,Three-stop,Yes,Undercut,6,Intermediate
30,34,Sunny,Smooth,Low,Conservative,Three-stop,No,Neutral,40,Medium
60,21,Cloudy,Smooth,Medium,Balanced,Two-stop,Yes,Undercut,10,Soft
19,11,Rainy,Moderate,Low,Conservative,Two-stop,No,Overcut,51,Wet
33,39,Cloudy,Rough,High,Conservative,Two-stop,No,Neutral,37,Hard
60,43,Rainy,Rough,Medium,Balanced,One-stop,Yes,Neutral,10,Wet
50,41,Cloudy,Rough,High,Aggressive,Three-stop,Yes,Neutral,20,Soft
68,34,Sunny,Rough,High,Conservative,Three-stop,No,Overcut,2,Soft
67,13,Rainy,Rough,High,Aggressive,Three-stop,Yes,Overcut,3,Wet
14,33,Sunny,Moderate,High,Conservative,One-stop,Yes,Neutral,56,Medium
15,11,Mixed,Rough,Medium,Aggressive,One-stop,Yes,Overcut,55,Intermediate
22,34,Sunny,Moderate,High,Conservative,One-stop,No,Undercut,48,Medium
48,25,Sunny,Smooth,High,Aggressive,Three-stop,No,Undercut,22,Medium
20,27,Rainy,Smooth,High,Conservative,Three-stop,No,Overcut,50,Wet
55,36,Cloudy,Moderate,High,Conservative,One-stop,No,Undercut,15,Hard
30,12,Cloudy,Rough,Low,Conservative,One-stop,No,Neutral,40,Hard
6,35,Sunny,Smooth,Low,Balanced,Three-stop,No,Neutral,64,Medium
55,35,Rainy,Moderate,High,Aggressive,Three-stop,Yes,Undercut,15,Wet
